Potrawa;Kalorie;Bia³ka;T³uszcze;Wêglowodany;Wegetarianin;Weganizm
Barszcz czerwony zabielany;34;2.1;1.4;3.4;1;0
Zupa grzybowa zabielana;29;1.5;1.9;1.8;1;0
Zupa pomidorowa z makaronem;35;1.6;1.8;3.3;1;0
¯urek;126;2.7;3.2;22.9;0;0
Ry¿ na mleku 3,2% t³uszczu;66;2.7;2.1;9.1;1;0
Dorsz, filety po grecku;155;10.6;10.8;4.6;0;0
Dorsz, filety panierowane, sma¿one;275;19.2;15.8;14.5;0;0
Klopsiki cielêce mielone, duszone;252;16.3;14.6;14.2;0;0
Pieczeñ cielêca , duszona;192;20.1;11.8;1.7;0;0
Potrawka z kurczaka;150;13.3;9;4.6;0;0
Kotlet schabowy panierowany, sma¿ony;353;19.1;24.1;15.9;0;0
¯eberka wieprzowe, duszone;210;7.9;19.2;2.2;0;0
Boeuf Strogonow, duszony;221;19.6;14.3;3.7;0;0
Fasola po bretoñsku;148;8.0;6.6;15.9;0;0
Mizeria ze œmietan¹;34;1.0;2.2;2.8;1;1
Surówka wielowarzywna z jogurtem naturalnym;38;1.7;0.6;7;1;1
Ciasto naleœnikowe biszkoptowe;189;8.5;5.9;25.5;1;0
Kluski œl¹skie;172;2.6;3.8;32.1;1;0
Naleœniki z serem twarogowym;243;10.2;10.3;27.3;1;0
Pizza z pieczarkami i cebul¹;296;13.3;13.1;32.1;1;1
Pizza miêsno-zio³owa;336;18;13.2;36.8;0;0
Placki ziemniaczane;235;3.6;14.5;23.6;1;1
Jajecznica;119;9.8;8.7;0.5;1;0
Omlet biszkoptowy ze szpinakiem;142;5.9;9.7;9.3;1;0
Kisiel waniliowy;121;3.3;4.5;16.6;1;1
Barszcz ukraiñski z fasolk¹ szparagow¹;38;1.9;0.6;6.9;1;1
Barszcz z boæwin¹;30;1.5;1.7;2.5;1;1
Kapuœniak z kwaszonej kapusty;23;1.5;1.2;1.7;1;1
Kapuœniak ze s³odkiej kapusty;33;0.7;2.1;3.2;1;1
Kasza manna na wywarze jarzynowym;22;0.5;0.8;3.4;1;1
Krem z zielonego groszku;67;3.1;3.8;5.9;1;1
Krupnik z kaszy gryczanej;45;1.7;1.2;7.2;1;1
Krupnik z kaszy jêczmiennej;42;1.5;0.9;7.4;1;1
Krupnik z ry¿u;45;1.5;1.1;7.6;1;1
Zupa cebulowa;45;1.4;2.7;4;1;1
Zupa cytrynowa z ry¿em;59;1.4;2.2;8.6;1;1
Zupa fasolowa;68;4;1.8;10;1;1
Zupa grochowa;71;4.4;2.4;8.9;1;1
Zupa jarzynowa zabielana;46;1.7;1.8;6.2;1;0
Zupa kalafiorowa;29;1.7;0.5;4.9;1;1
Zupa neapolitañska z ementalerem;63;2.2;2.5;8.1;1;0
Zupa ogórkowa;43;1.4;2;5;1;1
Zupa owocowa z jab³ek;43;0.1;0.1;10.6;1;1
Zupa pomidorowa;12;1;0.1;2.1;1;1
Zupa pomidorowa z ry¿em;37;1.5;1.8;3.9;1;1
Zupa pomidorowa zabielana;18;1.2;0.6;2.3;1;1
Zupa selerowa;39;1.6;1.8;4.5;1;1
Zupa selerowa z grzankami;54;1.9;1.9;8;1;1
Zupa szczawiowa;40;1.7;2.5;2.9;1;1
Zupa szpinakowa z ziemniakami;42;2.2;0.9;6.6;1;1
Zupa z fasoli szparagowej;47;2.2;0.6;8.9;1;1
Zupa z porów z makaronem;61;2.5;1.4;10.3;1;1
Zupa z zielonego groszku;62;3.2;1.2;11.2;1;1
Zupa ziemniaczana;40;1.4;1.1;6.6;1;1
Kasza jêczmienna na mleku 3,2% t³uszczu;64;2.6;2.2;8.5;1;0
Kasza manna na mleku 3,2% t³uszczu;67;2.7;2.1;9.3;1;0
Kluski lane na mleku 3,2% t³uszczu;69;3.6;3.1;6.8;1;0
Makaron na mleku 3,2% tluszczu;66;2.9;2.2;8.6;1;0
P³atki owsiane na mleku 3,2% t³uszczu;63;2.7;2.3;8.2;1;0
Ry¿ na mleku 3,2% t³uszczu;66;2.7;2.1;9.1;1;0
Dorsz w jarzynach;122;15.6;5.2;3.9;0;0
Karp w galarecie z warzywami;138;26.1;2.9;2.1;0;0
Karp z wody;104;16;3.7;2;0;0
Dorsz, kotlet mielony, sma¿ony;261;15;17.8;10.9;0;0
Dorsz, pulpety;114;14.3;2.6;8.7;0;0
Dorsz z rusztu;172;22.1;9.1;0.6;0;0
£osoœ saute, sma¿ony;380;21.2;31.4;4;0;0
£osoœ z rusztu;283;20.7;22.3;0.6;0;0
Cielêcina w potrawce;105;13.5;4.1;3.9;0;0
Kotlet cielêcy panierowany, sma¿ony;367;27.1;21.3;17.4;0;0
Kotlet mielony z kury, sma¿ony;384;20;27.8;14.2;0;0
Kotlety z kurczaka saute, sma¿one;241;20.3;16.5;3.2;0;0
Kotlety z kurczaka panierowane, sma¿one;250;19.8;15.8;7.6;0;0
Kura w galarecie;193;27.3;8.8;1.2;0;0
Kurczak w jarzynach, gotowany;103;7.6;6.4;4.6;0;0
Kurczêta pieczone;179;16.4;12.7;0.1;0;0
Medaliony z indyka, sma¿one;247;18.6;17.9;3.4;0;0
Bitki wieprzowe, duszone;196;10.4;16.1;2.6;0;0
Bitki wieprzowe w jarzynach, duszone;201;10.7;16.1;4.3;0;0
Galaretka z nó¿ek wieprzowych;203;16.9;14.9;0.8;0;0
Pieczeñ wieprzowa, duszona;226;11.4;19.8;1.2;0;0
Rolada wieprzowa, pieczona;414;21.3;32.6;9.9;0;0
Schab, pieczony;291;30.4;18.7;0.7;0;0
Stek wieprzowy, sma¿ony;472;21.7;42.7;1.5;0;0
W¹tróbka wieprzowa saute, sma¿ona;242;20.5;15.8;4.8;0;0
Wieprzowina, gotowana;365;22.5;29.8;3.1;0;0
¯eberka wieprzowe, duszone;210;7.9;19.2;2.2;0;0
Befsztyk bity wiejski, sma¿ony;258;19.4;19.6;1.6;0;0
Bitki wo³owe, duszone;103;13.6;4.4;2.3;0;0
Bitki wo³owe w jarzynach, duszone;120;14.3;4.5;2.3;0;0
Bryzol wo³owy z polêdwicy, sma¿ony;253;24.7;16.6;1.4;0;0
Gulasz wo³owy, duszony;149;14.1;9.2;2.6;0;0
Polêdwica wo³owa, pieczona;168;19.7;9.9;0;0;0
Pieczeñ wo³owa, duszona;156;15.8;9.5;1.9;0;0
Sztuka miêsa, gotowana;227;30.8;10.4;3.2;0;0
Klopsiki mielone z miêsa mieszanego,duszone;273;13.7;17.5;15.7;0;0
Kotlet mielony z miêsa mieszanego,sma¿ony;286;13.1;21.1;11.7;0;0
Pasztet z miêsa mieszanego, pieczony;362;15.1;31.1;6.5;0;0
Pieczeñ rzymska;209;14.5;11.4;12.5;0;0
Pulpety z miêsa mieszanego, gotowane ;226;18.8;11.1;13.3;0;0
Bigos popularny;121;5.1;9.9;3.8;0;0
Go³¹bki z miêsem i ry¿em w sosie pomidorowym;111;3.6;6.7;10;0;0
Papryka nadziewana miêsem i ry¿em;156;3.9;10.0;13.7;0;0
Risotto z miêsem i warzywami;187;6.6;10;18.3;0;0
Sa³ata zielona z olejem;113;1;11.6;2.1;1;1
Sa³ata zielona ze œmietan¹;42;1.4;2.3;4.5;1;0
Surówka z cykorii i jab³ek;163;1;16.4;3.8;1;1
Surówka z kapusty bia³ej;72;1.6;4.7;7;1;1
Surówka z kapusty kwaszonej;72;0.9;4.7;7.5;1;1
Surówka z kapusty pekiñskiej, jab³ek,papryki z olejem;57;1.1;3.8;5.7;1;1
Surówka z kapusty pekiñskiej z majonezem;98;1.6;8.1;6;1;0
Surówka z marchwi i jab³ek;66;1;0.3;16.6;1;1
Surówka z ogórków i pomidorów;34;1.1;1.8;3.6;1;1
Surówka z owoców;106;0.5;0.3;25.9;1;1
Surówka z owoców i warzyw;149;1.1;14.3;5.1;1;1
Surówka z papryki;93;1;7.5;6.3;1;1
Surówka z pomidorów;16;0.8;0.2;3.2;1;1
Surówka z porów z jab³kami;145;1.7;12.5;7.9;1;1
Surówka z rzodkiewki;95;7.5;5.9;3.5;1;1
Surówka z selerów i jab³ek z olejem;99;1.1;7.5;8.9;1;1
Surówka z selerów, jablek i marchwi;67;0.9;0.4;16.5;1;1
Brukselka, gotowana, z mas³em;119;4.2;7.1;12;1;0
Buraki, gotowane, doprawiane;74;1.6;3.5;10;1;1
Buraki z jab³kami;73;1.5;3.3;10.3;1;1
Buraki, zasma¿ane;86;1.6;5.5;8.6;1;1
Buraki ze œmietan¹;69;1.8;3.4;8.8;1;0
Æwik³a;44;1.6;0.1;10.2;1;1